"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","07-Nov-2023","2,339.00","2,334.05","2,339.10","2,319.55","2,323.10","2,323.80","2,328.29","34,80,102","8,10,26,78,736.35","1,64,587","22,82,754","65.59"
"RELIANCE","EQ","08-Nov-2023","2,323.80","2,332.00","2,341.00","2,321.75","2,333.75","2,335.90","2,335.80","39,42,247","9,20,82,87,625.15","1,50,160","28,30,151","71.79"
"RELIANCE","BL","09-Nov-2023","2,841.85","2,335.90","2,335.90","2,335.90","2,335.90","2,335.90","2,335.90","3,47,411","81,15,17,354.90","1","-","-"
"RELIANCE","EQ","09-Nov-2023","2,335.90","2,335.85","2,335.90","2,304.20","2,311.45","2,310.55","2,316.51","72,56,805","16,81,04,55,976.65","2,64,597","31,35,122","43.20"
"RELIANCE","EQ","10-Nov-2023","2,310.55","2,305.55","2,316.35","2,298.05","2,315.90","2,314.90","2,308.66","38,67,477","8,92,86,95,452.35","1,44,846","22,72,363","58.76"
"RELIANCE","EQ","12-Nov-2023","2,314.90","2,326.05","2,332.00","2,322.50","2,330.90","2,330.65","2,328.71","7,09,922","1,65,32,02,914.45","54,331","4,64,151","65.38"
"RELIANCE","EQ","13-Nov-2023","2,330.65","2,322.90","2,324.60","2,311.70","2,315.10","2,314.60","2,316.15","19,27,405","4,46,41,62,629.45","1,01,023","12,87,215","66.78"
"RELIANCE","EQ","15-Nov-2023","2,314.60","2,340.00","2,361.95","2,327.00","2,356.10","2,356.45","2,346.76","61,10,324","14,33,94,87,044.50","1,88,402","44,22,539","72.38"
"RELIANCE","EQ","16-Nov-2023","2,356.45","2,351.10","2,374.15","2,346.95","2,358.00","2,360.70","2,363.74","65,67,455","15,52,37,61,404.10","1,79,828","33,45,345","50.94"
"RELIANCE","EQ","17-Nov-2023","2,360.70","2,352.90","2,373.25","2,352.05","2,354.85","2,355.55","2,363.50","38,79,317","9,16,87,51,612.00","1,40,454","22,77,019","58.70"
"RELIANCE","EQ","20-Nov-2023","2,355.55","2,348.55","2,358.40","2,336.40","2,349.00","2,349.35","2,346.96","22,45,093","5,26,91,53,540.00","1,17,438","13,88,002","61.82"
"RELIANCE","EQ","21-Nov-2023","2,349.35","2,366.00","2,388.00","2,360.20","2,377.00","2,378.90","2,377.09","41,07,225","9,76,32,57,904.05","1,63,809","26,33,039","64.11"
"RELIANCE","EQ","22-Nov-2023","2,378.90","2,375.00","2,394.45","2,372.20","2,387.00","2,388.20","2,385.76","42,67,407","10,18,10,03,165.90","1,77,755","27,62,388","64.73"
"RELIANCE","EQ","23-Nov-2023","2,388.20","2,388.20","2,400.00","2,388.20","2,393.90","2,395.50","2,395.76","42,65,771","10,21,97,70,255.80","1,51,936","23,70,901","55.58"
"RELIANCE","EQ","24-Nov-2023","2,395.50","2,391.60","2,402.60","2,391.05","2,394.25","2,393.90","2,397.29","33,74,743","8,09,02,26,237.15","1,82,231","20,09,729","59.55"
"RELIANCE","BL","28-Nov-2023","2,335.90","2,393.90","2,393.90","2,393.90","2,393.90","2,393.90","2,393.90","5,01,376","1,20,02,44,006.40","1","-","-"
"RELIANCE","EQ","28-Nov-2023","2,393.90","2,393.90","2,399.70","2,375.25","2,395.15","2,394.40","2,383.04","68,96,087","16,43,36,74,720.45","2,21,537","48,84,834","70.83"
"RELIANCE","EQ","29-Nov-2023","2,394.40","2,408.00","2,411.95","2,398.05","2,400.00","2,400.70","2,406.54","62,65,653","15,07,85,54,701.80","1,61,091","49,89,032","79.63"
"RELIANCE","EQ","30-Nov-2023","2,400.70","2,394.70","2,400.70","2,369.90","2,379.00","2,377.45","2,382.58","1,42,19,992","33,88,02,61,609.25","3,68,003","1,13,70,920","79.96"
"RELIANCE","EQ","01-Dec-2023","2,377.45","2,378.00","2,396.40","2,377.60","2,393.00","2,394.30","2,389.47","71,71,421","17,13,59,06,079.40","2,18,016","48,01,676","66.96"
"RELIANCE","EQ","04-Dec-2023","2,394.30","2,450.00","2,450.00","2,398.60","2,421.00","2,420.20","2,417.16","77,95,495","18,84,29,40,784.80","2,49,010","48,55,968","62.29"
"RELIANCE","EQ","05-Dec-2023","2,420.20","2,439.00","2,440.85","2,421.65","2,437.15","2,437.75","2,435.32","63,46,812","15,45,64,91,179.15","2,70,813","46,43,536","73.16"
"RELIANCE","EQ","06-Dec-2023","2,437.75","2,447.10","2,472.95","2,435.00","2,462.00","2,461.10","2,459.66","82,11,221","20,19,68,20,469.50","2,03,350","60,75,935","74.00"
"RELIANCE","EQ","07-Dec-2023","2,461.10","2,460.00","2,460.95","2,442.00","2,456.15","2,457.05","2,453.62","40,71,048","9,98,87,95,871.30","1,69,328","23,50,086","57.73"
"RELIANCE","EQ","08-Dec-2023","2,457.05","2,463.85","2,476.70","2,445.00","2,451.00","2,455.75","2,457.48","51,02,447","12,53,91,53,828.90","1,93,898","25,81,396","50.59"
"RELIANCE","EQ","11-Dec-2023","2,455.75","2,456.00","2,467.60","2,452.40","2,460.90","2,459.35","2,459.80","35,33,069","8,69,06,54,768.25","1,48,258","26,51,027","75.03"
"RELIANCE","EQ","12-Dec-2023","2,459.35","2,460.00","2,464.95","2,420.15","2,424.00","2,424.05","2,442.73","45,98,562","11,23,30,58,046.60","1,64,611","32,26,060","70.15"
"RELIANCE","EQ","13-Dec-2023","2,424.05","2,422.00","2,438.35","2,406.30","2,432.05","2,433.95","2,422.37","50,15,591","12,14,96,35,536.75","2,03,903","31,56,741","62.94"
"RELIANCE","EQ","14-Dec-2023","2,433.95","2,454.00","2,474.95","2,442.65","2,463.55","2,464.15","2,464.76","84,86,177","20,91,64,13,095.30","3,08,013","58,07,295","68.43"
"RELIANCE","EQ","15-Dec-2023","2,464.15","2,478.00","2,500.00","2,470.05","2,492.00","2,495.60","2,487.92","79,66,076","19,81,89,94,725.95","2,19,982","50,16,104","62.97"
"RELIANCE","EQ","18-Dec-2023","2,495.60","2,495.60","2,534.90","2,490.95","2,520.00","2,521.00","2,521.89","70,82,594","17,86,15,36,572.75","2,53,336","48,55,424","68.55"
"RELIANCE","EQ","19-Dec-2023","2,521.00","2,555.00","2,573.90","2,525.20","2,556.50","2,558.10","2,553.63","84,10,302","21,47,67,99,671.65","3,31,728","55,18,449","65.62"
"RELIANCE","EQ","20-Dec-2023","2,558.10","2,571.05","2,598.85","2,520.00","2,529.40","2,527.15","2,563.63","88,68,361","22,73,51,94,766.35","3,72,595","53,42,862","60.25"
"RELIANCE","EQ","21-Dec-2023","2,527.15","2,527.00","2,573.50","2,518.25","2,561.00","2,562.55","2,551.74","68,82,727","17,56,29,46,483.40","2,35,158","34,79,632","50.56"
"RELIANCE","EQ","22-Dec-2023","2,562.55","2,559.60","2,580.90","2,547.65","2,561.00","2,565.05","2,559.79","82,70,892","21,17,17,13,990.35","2,74,088","47,33,005","57.22"
"RELIANCE","EQ","26-Dec-2023","2,565.05","2,568.00","2,591.95","2,562.70","2,579.00","2,578.05","2,579.88","37,32,832","9,63,02,62,624.25","1,88,513","23,54,231","63.07"
"RELIANCE","EQ","27-Dec-2023","2,578.05","2,582.00","2,599.90","2,573.10","2,583.35","2,586.85","2,586.56","46,02,078","11,90,35,47,787.85","1,91,497","28,50,871","61.95"
"RELIANCE","EQ","28-Dec-2023","2,586.85","2,589.80","2,612.00","2,586.85","2,605.00","2,605.55","2,602.58","61,51,318","16,00,92,95,262.65","2,28,625","40,61,975","66.03"
"RELIANCE","EQ","29-Dec-2023","2,605.55","2,611.10","2,614.00","2,579.30","2,587.00","2,584.95","2,589.61","54,32,292","14,06,74,90,670.90","2,48,419","34,15,339","62.87"
"RELIANCE","EQ","01-Jan-2024","2,584.95","2,580.55","2,606.85","2,573.15","2,588.45","2,590.25","2,588.14","20,15,270","5,21,58,08,110.05","1,15,559","8,77,801","43.56"
"RELIANCE","EQ","02-Jan-2024","2,590.25","2,585.00","2,615.00","2,573.00","2,609.00","2,611.70","2,596.75","37,24,400","9,67,13,31,567.50","1,75,872","20,59,678","55.30"
"RELIANCE","EQ","03-Jan-2024","2,611.70","2,610.00","2,634.00","2,577.20","2,580.75","2,583.30","2,606.46","45,18,768","11,77,80,06,447.25","1,98,303","27,06,158","59.89"
"RELIANCE","EQ","04-Jan-2024","2,583.30","2,588.00","2,609.85","2,579.10","2,600.00","2,596.65","2,597.37","48,06,389","12,48,39,71,502.55","2,67,185","30,03,090","62.48"
"RELIANCE","EQ","05-Jan-2024","2,596.65","2,602.90","2,619.85","2,598.00","2,609.00","2,607.70","2,606.82","40,43,203","10,53,98,86,698.05","2,11,413","22,80,572","56.41"
"RELIANCE","EQ","08-Jan-2024","2,607.70","2,610.00","2,631.95","2,568.95","2,586.00","2,587.35","2,600.55","38,67,326","10,05,71,68,474.15","1,71,169","22,08,577","57.11"
"RELIANCE","EQ","09-Jan-2024","2,587.35","2,600.00","2,606.80","2,577.20","2,580.50","2,580.50","2,592.44","27,01,537","7,00,35,71,441.95","1,30,706","16,58,627","61.40"
"RELIANCE","EQ","10-Jan-2024","2,580.50","2,577.00","2,659.00","2,575.05","2,655.00","2,650.10","2,616.79","55,51,370","14,52,67,42,701.55","1,79,441","33,39,874","60.16"
"RELIANCE","EQ","11-Jan-2024","2,650.10","2,659.00","2,725.00","2,657.00","2,716.00","2,719.80","2,695.73","1,18,62,926","31,97,92,89,599.90","5,81,952","79,93,082","67.38"
"RELIANCE","EQ","12-Jan-2024","2,719.80","2,719.80","2,746.65","2,691.50","2,740.50","2,741.45","2,729.49","75,06,082","20,48,77,45,085.40","4,34,055","45,97,780","61.25"
"RELIANCE","EQ","15-Jan-2024","2,741.45","2,750.00","2,792.90","2,732.00","2,786.00","2,788.25","2,768.73","43,05,297","11,92,02,19,926.15","2,37,252","25,44,119","59.09"
"RELIANCE","EQ","16-Jan-2024","2,788.25","2,779.95","2,792.60","2,741.00","2,746.80","2,749.25","2,770.68","45,34,512","12,56,36,73,259.40","2,35,619","27,48,547","60.61"
"RELIANCE","EQ","17-Jan-2024","2,749.25","2,719.00","2,772.55","2,710.05","2,723.50","2,723.15","2,738.75","60,98,691","16,70,27,84,157.50","3,12,203","38,90,087","63.79"
"RELIANCE","EQ","18-Jan-2024","2,723.15","2,702.80","2,742.00","2,702.50","2,734.75","2,735.90","2,724.93","51,39,719","14,00,53,71,079.55","2,53,448","30,23,891","58.83"
"RELIANCE","EQ","19-Jan-2024","2,735.90","2,752.00","2,752.00","2,718.00","2,736.45","2,734.90","2,732.29","52,11,352","14,23,89,41,782.60","2,75,902","29,77,206","57.13"
"RELIANCE","EQ","20-Jan-2024","2,734.90","2,730.00","2,766.95","2,700.00","2,716.00","2,713.30","2,734.20","36,41,697","9,95,71,10,928.55","1,28,579","13,48,080","37.02"
"RELIANCE","EQ","23-Jan-2024","2,713.30","2,743.50","2,743.50","2,645.10","2,656.75","2,657.15","2,674.90","1,00,27,710","26,82,30,81,585.30","3,37,484","75,88,796","75.68"
"RELIANCE","EQ","24-Jan-2024","2,657.15","2,670.45","2,699.00","2,647.85","2,694.90","2,687.75","2,664.32","1,09,59,564","29,19,98,12,068.10","2,53,093","84,88,857","77.46"
"RELIANCE","EQ","25-Jan-2024","2,687.75","2,685.90","2,728.30","2,670.40","2,711.00","2,706.15","2,697.07","59,04,436","15,92,46,81,035.80","1,99,408","33,49,043","56.72"
"RELIANCE","EQ","29-Jan-2024","2,706.15","2,729.00","2,905.00","2,720.35","2,890.10","2,896.10","2,842.26","1,19,46,719","33,95,56,52,629.40","4,64,414","55,23,879","46.24"
"RELIANCE","EQ","30-Jan-2024","2,896.10","2,919.90","2,919.95","2,808.85","2,818.25","2,815.25","2,854.34","70,46,989","20,11,45,36,190.80","3,14,728","36,88,941","52.35"
"RELIANCE","EQ","31-Jan-2024","2,815.25","2,808.00","2,868.50","2,805.00","2,850.00","2,853.25","2,847.99","75,65,113","21,54,54,02,809.00","3,43,623","46,39,003","61.32"
"RELIANCE","EQ","01-Feb-2024","2,853.25","2,870.00","2,886.70","2,836.10","2,851.50","2,853.30","2,857.88","66,74,681","19,07,54,09,129.85","2,59,110","34,09,296","51.08"
"RELIANCE","EQ","02-Feb-2024","2,853.30","2,866.35","2,949.80","2,866.35","2,913.00","2,915.40","2,913.44","98,26,294","28,62,83,19,858.85","4,20,949","45,52,813","46.33"
"RELIANCE","EQ","05-Feb-2024","2,915.40","2,921.50","2,941.00","2,863.05","2,879.45","2,878.05","2,907.30","44,07,216","12,81,31,04,310.25","1,97,343","22,69,459","51.49"
"RELIANCE","EQ","06-Feb-2024","2,878.05","2,883.70","2,883.70","2,839.65","2,854.75","2,855.60","2,859.49","45,23,992","12,93,63,28,247.70","2,40,512","27,53,486","60.86"
"RELIANCE","EQ","07-Feb-2024","2,855.60","2,871.85","2,899.00","2,858.50","2,885.00","2,884.30","2,876.04","46,48,284","13,36,86,50,630.75","2,28,951","25,82,820","55.57"
"RELIANCE","EQ","08-Feb-2024","2,884.30","2,900.00","2,918.95","2,855.05","2,916.00","2,900.25","2,882.90","73,47,317","21,18,16,03,384.90","3,20,055","33,35,852","45.40"
"RELIANCE","EQ","09-Feb-2024","2,900.25","2,908.00","2,943.95","2,901.90","2,917.30","2,921.50","2,924.38","62,78,399","18,36,04,29,342.90","2,48,252","31,87,415","50.77"
"RELIANCE","EQ","12-Feb-2024","2,921.50","2,921.50","2,922.00","2,884.70","2,904.00","2,904.70","2,900.64","33,37,215","9,68,00,50,427.50","1,70,350","18,94,566","56.77"
"RELIANCE","EQ","13-Feb-2024","2,904.70","2,911.00","2,958.00","2,908.00","2,926.20","2,930.20","2,934.72","38,57,797","11,32,15,54,002.65","1,78,755","18,92,852","49.07"
"RELIANCE","EQ","14-Feb-2024","2,930.20","2,915.00","2,967.30","2,915.00","2,963.60","2,962.75","2,943.59","35,58,944","10,47,60,84,977.75","2,00,869","19,53,682","54.89"
"RELIANCE","EQ","15-Feb-2024","2,962.75","2,966.70","2,969.45","2,933.05","2,944.50","2,941.20","2,946.03","50,03,391","14,74,01,28,065.85","2,36,768","22,41,593","44.80"
"RELIANCE","EQ","16-Feb-2024","2,941.20","2,952.95","2,954.00","2,917.10","2,925.00","2,921.15","2,932.13","48,83,749","14,31,97,75,078.35","1,70,212","30,86,745","63.20"
"RELIANCE","EQ","19-Feb-2024","2,921.15","2,924.10","2,959.00","2,907.05","2,940.00","2,948.00","2,934.52","33,64,914","9,87,43,95,305.15","1,43,935","18,75,370","55.73"
"RELIANCE","EQ","20-Feb-2024","2,948.00","2,950.05","2,951.00","2,923.60","2,941.45","2,942.05","2,937.06","35,58,748","10,45,22,64,180.75","1,72,812","22,72,438","63.85"
"RELIANCE","EQ","21-Feb-2024","2,942.05","2,948.00","2,977.05","2,915.10","2,932.05","2,935.40","2,949.30","63,60,146","18,75,79,66,311.65","2,89,896","42,35,202","66.59"
"RELIANCE","EQ","22-Feb-2024","2,935.40","2,936.30","2,969.90","2,916.00","2,962.20","2,963.50","2,944.65","92,46,864","27,22,87,62,576.20","2,73,105","49,81,085","53.87"
"RELIANCE","EQ","23-Feb-2024","2,963.50","2,979.00","2,995.10","2,966.70","2,986.55","2,987.25","2,982.96","72,19,292","21,53,48,40,027.25","2,55,210","42,63,991","59.06"
"RELIANCE","EQ","26-Feb-2024","2,987.25","2,987.10","2,989.05","2,965.00","2,975.10","2,974.65","2,974.31","37,56,553","11,17,31,63,735.60","1,41,799","27,28,420","72.63"
"RELIANCE","EQ","27-Feb-2024","2,974.65","2,966.05","2,999.90","2,956.10","2,971.00","2,971.30","2,974.38","54,13,022","16,10,04,08,443.55","1,97,414","38,45,450","71.04"
"RELIANCE","EQ","28-Feb-2024","2,971.30","2,966.00","2,982.55","2,900.35","2,915.00","2,911.25","2,931.01","43,23,975","12,67,36,07,274.50","2,16,192","24,49,550","56.65"
"RELIANCE","EQ","29-Feb-2024","2,911.25","2,930.00","2,957.95","2,909.05","2,930.75","2,921.60","2,927.13","1,18,14,488","34,58,24,93,286.65","2,98,691","78,42,843","66.38"
"RELIANCE","EQ","01-Mar-2024","2,921.60","2,927.00","3,000.00","2,925.00","2,977.00","2,984.25","2,966.96","60,66,463","17,99,89,57,520.55","2,72,154","32,34,333","53.31"
"RELIANCE","EQ","02-Mar-2024","2,984.25","2,984.00","3,000.90","2,976.00","2,980.95","2,982.15","2,989.65","3,58,150","1,07,07,43,614.70","18,856","1,59,244","44.46"
"RELIANCE","EQ","04-Mar-2024","2,982.15","2,980.95","3,024.90","2,974.45","3,010.00","3,014.80","3,003.93","50,12,210","15,05,63,20,911.10","2,40,680","28,91,870","57.70"
"RELIANCE","EQ","05-Mar-2024","3,014.80","3,011.55","3,014.80","2,972.10","2,996.00","3,000.40","2,992.50","35,53,834","10,63,48,36,947.90","2,13,477","22,15,644","62.35"
"RELIANCE","EQ","06-Mar-2024","3,000.40","2,986.90","3,018.00","2,957.00","3,002.85","3,006.00","2,991.36","39,02,838","11,67,47,86,490.95","2,05,634","19,85,212","50.87"
"RELIANCE","EQ","07-Mar-2024","3,006.00","3,005.95","3,006.20","2,951.10","2,957.00","2,957.85","2,973.36","41,57,863","12,36,28,39,422.10","1,95,070","22,19,130","53.37"
"RELIANCE","EQ","11-Mar-2024","2,957.85","2,978.00","2,978.00","2,927.00","2,928.00","2,933.20","2,950.20","56,38,565","16,63,48,94,693.10","2,55,615","39,99,900","70.94"
"RELIANCE","EQ","12-Mar-2024","2,933.20","2,933.20","2,976.00","2,930.05","2,953.50","2,950.85","2,956.49","47,16,339","13,94,38,14,809.40","1,78,946","28,76,783","61.00"
"RELIANCE","EQ","13-Mar-2024","2,950.85","2,959.55","2,966.20","2,855.55","2,873.20","2,864.35","2,889.98","67,61,067","19,53,93,20,816.80","2,55,973","44,93,232","66.46"
"RELIANCE","EQ","14-Mar-2024","2,864.35","2,879.40","2,897.05","2,851.00","2,870.00","2,862.95","2,871.07","92,85,551","26,65,94,95,810.00","3,43,017","51,05,534","54.98"
"RELIANCE","EQ","15-Mar-2024","2,862.95","2,851.90","2,866.45","2,825.80","2,838.00","2,836.45","2,839.66","96,11,909","27,29,45,38,070.95","2,49,827","64,60,151","67.21"
"RELIANCE","EQ","18-Mar-2024","2,836.45","2,840.00","2,883.45","2,833.05","2,874.00","2,878.95","2,858.10","45,84,696","13,10,35,38,361.45","2,28,224","28,79,547","62.81"
"RELIANCE","EQ","19-Mar-2024","2,878.95","2,857.50","2,875.20","2,834.50","2,849.15","2,850.50","2,848.79","41,37,882","11,78,79,73,196.45","1,96,658","27,11,695","65.53"
"RELIANCE","EQ","20-Mar-2024","2,850.50","2,855.90","2,890.00","2,848.05","2,886.25","2,887.50","2,874.53","42,44,403","12,20,06,51,007.80","2,08,132","27,34,110","64.42"
"RELIANCE","EQ","21-Mar-2024","2,887.50","2,905.05","2,915.80","2,889.35","2,900.05","2,901.95","2,903.52","65,03,468","18,88,29,74,161.40","2,44,846","30,99,861","47.66"
"RELIANCE","EQ","22-Mar-2024","2,901.95","2,899.95","2,920.00","2,894.70","2,906.55","2,910.05","2,909.59","97,63,804","28,40,86,77,998.20","2,86,746","59,30,597","60.74"
"RELIANCE","EQ","26-Mar-2024","2,910.05","2,890.00","2,904.80","2,878.00","2,886.70","2,883.15","2,887.28","57,07,953","16,48,04,30,505.15","1,74,805","38,26,158","67.03"
"RELIANCE","EQ","27-Mar-2024","2,883.15","2,896.00","3,000.00","2,894.00","2,983.75","2,985.70","2,972.19","81,63,322","24,26,29,83,466.45","2,99,800","43,60,696","53.42"
"RELIANCE","EQ","28-Mar-2024","2,985.70","2,985.75","3,011.90","2,957.30","2,970.30","2,971.70","2,988.81","1,09,27,182","32,65,92,43,942.20","2,89,271","53,03,114","48.53"
"RELIANCE","EQ","01-Apr-2024","2,971.70","2,984.95","2,987.95","2,965.00","2,974.80","2,969.55","2,973.78","25,06,940","7,45,50,79,986.05","1,28,873","16,19,370","64.60"
"RELIANCE","EQ","02-Apr-2024","2,969.55","2,968.00","2,988.00","2,950.00","2,977.00","2,973.90","2,964.64","44,55,083","13,20,77,26,108.30","1,44,866","28,67,632","64.37"
"RELIANCE","EQ","03-Apr-2024","2,973.90","2,964.15","2,968.90","2,937.80","2,944.95","2,943.20","2,950.91","35,04,146","10,34,04,31,852.20","1,52,022","21,51,384","61.40"
"RELIANCE","EQ","04-Apr-2024","2,943.20","2,959.50","2,959.50","2,900.00","2,931.00","2,925.85","2,924.41","72,45,136","21,18,77,69,929.50","3,05,593","21,79,244","30.08"
"RELIANCE","EQ","05-Apr-2024","2,925.85","2,921.75","2,941.60","2,912.00","2,925.95","2,920.20","2,924.97","37,21,149","10,88,42,50,027.90","1,38,742","18,92,949","50.87"
"RELIANCE","EQ","08-Apr-2024","2,920.20","2,925.95","2,981.95","2,922.00","2,970.00","2,971.95","2,967.76","41,78,559","12,40,09,63,621.65","1,44,054","22,78,607","54.53"
"RELIANCE","EQ","09-Apr-2024","2,971.95","2,978.00","2,979.60","2,925.00","2,931.90","2,927.30","2,942.09","35,35,707","10,40,23,78,582.00","1,66,238","23,46,545","66.37"
"RELIANCE","EQ","10-Apr-2024","2,927.30","2,932.70","2,974.00","2,932.70","2,955.00","2,959.15","2,956.51","45,69,165","13,50,87,81,489.15","2,47,782","26,35,664","57.68"
"RELIANCE","EQ","12-Apr-2024","2,959.15","2,951.75","2,972.95","2,926.15","2,937.15","2,934.30","2,950.89","77,75,506","22,94,46,47,360.80","3,18,190","38,29,205","49.25"
"RELIANCE","EQ","15-Apr-2024","2,934.30","2,922.00","2,964.25","2,892.65","2,931.00","2,929.65","2,937.49","64,51,031","18,94,98,08,687.30","2,78,625","37,81,784","58.62"
"RELIANCE","EQ","16-Apr-2024","2,929.65","2,906.70","2,942.35","2,901.85","2,936.50","2,931.50","2,922.76","46,83,092","13,68,75,64,159.45","2,02,013","29,26,710","62.50"
"RELIANCE","EQ","18-Apr-2024","2,931.50","2,927.00","2,972.00","2,918.70","2,925.00","2,928.65","2,940.33","95,02,846","27,94,15,31,144.35","2,92,105","49,22,394","51.80"
"RELIANCE","EQ","19-Apr-2024","2,928.65","2,913.55","2,948.00","2,886.05","2,943.05","2,940.25","2,922.72","78,70,889","23,00,43,85,019.15","2,57,506","39,77,520","50.53"
"RELIANCE","EQ","22-Apr-2024","2,940.25","2,944.90","2,965.65","2,935.60","2,962.90","2,959.70","2,950.88","51,75,181","15,27,13,48,793.50","1,63,758","31,78,709","61.42"
"RELIANCE","EQ","23-Apr-2024","2,959.70","2,958.00","2,987.00","2,911.10","2,919.50","2,918.65","2,944.51","73,02,777","21,50,31,28,837.35","3,39,439","37,61,791","51.51"
"RELIANCE","EQ","24-Apr-2024","2,918.65","2,927.00","2,937.10","2,899.00","2,901.45","2,900.35","2,917.88","52,31,388","15,26,45,81,699.05","1,86,848","34,66,158","66.26"
"RELIANCE","EQ","25-Apr-2024","2,900.35","2,885.00","2,935.95","2,883.00","2,917.70","2,919.95","2,914.62","79,71,963","23,23,52,72,655.30","2,36,911","36,42,640","45.69"
"RELIANCE","EQ","26-Apr-2024","2,919.95","2,927.90","2,930.00","2,900.00","2,908.50","2,905.10","2,911.85","47,06,924","13,70,58,73,642.80","2,08,164","22,04,091","46.83"
"RELIANCE","EQ","29-Apr-2024","2,905.10","2,900.00","2,935.80","2,900.00","2,927.50","2,930.05","2,926.58","36,23,987","10,60,58,75,230.60","1,58,806","21,66,495","59.78"
"RELIANCE","EQ","30-Apr-2024","2,930.05","2,936.00","2,966.15","2,925.75","2,932.00","2,934.00","2,947.60","57,37,131","16,91,07,77,825.20","2,10,901","39,80,936","69.39"
"RELIANCE","EQ","02-May-2024","2,934.00","2,944.00","2,954.65","2,928.25","2,938.10","2,933.10","2,941.23","72,56,323","21,34,25,18,418.90","3,06,721","32,87,714","45.31"
"RELIANCE","EQ","03-May-2024","2,933.10","2,942.00","2,949.90","2,832.30","2,871.00","2,868.00","2,876.27","86,13,479","24,77,47,10,139.90","3,58,280","40,48,315","47.00"
"RELIANCE","EQ","06-May-2024","2,868.00","2,871.00","2,880.00","2,836.00","2,843.40","2,839.05","2,851.80","36,97,104","10,54,34,11,394.40","1,68,077","24,53,033","66.35"
"RELIANCE","EQ","07-May-2024","2,839.05","2,831.95","2,841.50","2,784.00","2,808.00","2,802.95","2,804.43","72,58,736","20,35,65,96,310.45","3,08,242","53,07,006","73.11"
